ADP Rank,ADP,Player,Team,Pos,Pos Rank,Match Key,Source,Format,Date Pulled
1,1.0,Jahmyr Gibbs,DET,RB,RB1,jahmyr gibbs|RB,Sleeper,PPR,2026-09-05
2,2.0,Bijan Robinson,ATL,RB,RB2,bijan robinson|RB,Sleeper,PPR,2026-09-05
3,3.0,Ja'Marr Chase,CIN,WR,WR1,jamarr chase|WR,Sleeper,PPR,2026-09-05
4,4.0,Puka Nacua,LAR,WR,WR2,puka nacua|WR,Sleeper,PPR,2026-09-05
5,5.0,Christian McCaffrey,SF,RB,RB3,christian mccaffrey|RB,Sleeper,PPR,2026-09-05
6,6.0,Jaxon Smith-Njigba,SEA,WR,WR3,jaxon smith-njigba|WR,Sleeper,PPR,2026-09-05
7,7.0,Jonathan Taylor,IND,RB,RB4,jonathan taylor|RB,Sleeper,PPR,2026-09-05
8,8.0,Amon-Ra St. Brown,DET,WR,WR4,amon-ra st brown|WR,Sleeper,PPR,2026-09-05
9,9.0,James Cook,BUF,RB,RB5,james cook|RB,Sleeper,PPR,2026-09-05
10,10.0,CeeDee Lamb,DAL,WR,WR5,ceedee lamb|WR,Sleeper,PPR,2026-09-05
11,11.0,Saquon Barkley,PHI,RB,RB6,saquon barkley|RB,Sleeper,PPR,2026-09-05
12,12.0,Justin Jefferson,MIN,WR,WR6,justin jefferson|WR,Sleeper,PPR,2026-09-05
13,13.0,De'Von Achane,MIA,RB,RB7,devon achane|RB,Sleeper,PPR,2026-09-05
14,14.0,Ashton Jeanty,LVR,RB,RB8,ashton jeanty|RB,Sleeper,PPR,2026-09-05
15,15.0,Omarion Hampton,LAC,RB,RB9,omarion hampton|RB,Sleeper,PPR,2026-09-05
16,16.0,Chase Brown,CIN,RB,RB10,chase brown|RB,Sleeper,PPR,2026-09-05
17,17.0,A.J. Brown,NE,WR,WR7,aj brown|WR,Sleeper,PPR,2026-09-05
18,18.0,Drake London,ATL,WR,WR8,drake london|WR,Sleeper,PPR,2026-09-05
19,19.0,Derrick Henry,BAL,RB,RB11,derrick henry|RB,Sleeper,PPR,2026-09-05
20,20.0,Kenneth Walker III,KC,RB,RB12,kenneth walker iii|RB,Sleeper,PPR,2026-09-05
21,21.0,Josh Allen,BUF,QB,QB1,josh allen|QB,Sleeper,PPR,2026-09-05
22,22.0,George Pickens,DAL,WR,WR9,george pickens|WR,Sleeper,PPR,2026-09-05
23,23.0,Trey McBride,ARI,TE,TE1,trey mcbride|TE,Sleeper,PPR,2026-09-05
24,24.0,Brock Bowers,LVR,TE,TE2,brock bowers|TE,Sleeper,PPR,2026-09-05
25,25.0,Nico Collins,HOU,WR,WR10,nico collins|WR,Sleeper,PPR,2026-09-05
26,26.0,Malik Nabers,NYG,WR,WR11,malik nabers|WR,Sleeper,PPR,2026-09-05
27,27.0,Jeremiyah Love,ARI,RB,RB13,jeremiyah love|RB,Sleeper,PPR,2026-09-05
28,28.0,Kyren Williams,LAR,RB,RB14,kyren williams|RB,Sleeper,PPR,2026-09-05
29,29.0,Rashee Rice,KC,WR,WR12,rashee rice|WR,Sleeper,PPR,2026-09-05
30,30.0,Chris Olave,NO,WR,WR13,chris olave|WR,Sleeper,PPR,2026-09-05
31,31.0,Lamar Jackson,BAL,QB,QB2,lamar jackson|QB,Sleeper,PPR,2026-09-05
32,32.0,DeVonta Smith,PHI,WR,WR14,devonta smith|WR,Sleeper,PPR,2026-09-05
33,33.0,Javonte Williams,DAL,RB,RB15,javonte williams|RB,Sleeper,PPR,2026-09-05
34,34.0,Breece Hall,NYJ,RB,RB16,breece hall|RB,Sleeper,PPR,2026-09-05
35,35.0,Ladd McConkey,LAC,WR,WR15,ladd mcconkey|WR,Sleeper,PPR,2026-09-05
36,36.0,Tee Higgins,CIN,WR,WR16,tee higgins|WR,Sleeper,PPR,2026-09-05
37,37.0,Tetairoa McMillan,CAR,WR,WR17,tetairoa mcmillan|WR,Sleeper,PPR,2026-09-05
38,38.0,Emeka Egbuka,TB,WR,WR18,emeka egbuka|WR,Sleeper,PPR,2026-09-05
39,39.0,Colston Loveland,CHI,TE,TE3,colston loveland|TE,Sleeper,PPR,2026-09-05
40,40.0,Zay Flowers,BAL,WR,WR19,zay flowers|WR,Sleeper,PPR,2026-09-05
41,41.0,Cameron Skattebo,NYG,RB,RB17,cameron skattebo|RB,Sleeper,PPR,2026-09-05
42,42.0,Bucky Irving,TB,RB,RB18,bucky irving|RB,Sleeper,PPR,2026-09-05
43,43.0,Travis Etienne,NO,RB,RB19,travis etienne|RB,Sleeper,PPR,2026-09-05
44,44.0,Jaylen Waddle,DEN,WR,WR20,jaylen waddle|WR,Sleeper,PPR,2026-09-05
45,45.0,Garrett Wilson,NYJ,WR,WR21,garrett wilson|WR,Sleeper,PPR,2026-09-05
46,46.0,David Montgomery,HOU,RB,RB20,david montgomery|RB,Sleeper,PPR,2026-09-05
47,47.0,Drake Maye,NE,QB,QB3,drake maye|QB,Sleeper,PPR,2026-09-05
48,48.0,Tyler Warren,IND,TE,TE4,tyler warren|TE,Sleeper,PPR,2026-09-05
49,49.0,Davante Adams,LAR,WR,WR22,davante adams|WR,Sleeper,PPR,2026-09-05
50,50.0,D'Andre Swift,CHI,RB,RB21,dandre swift|RB,Sleeper,PPR,2026-09-05
51,51.0,Joe Burrow,CIN,QB,QB4,joe burrow|QB,Sleeper,PPR,2026-09-05
52,52.0,D.J. Moore,BUF,WR,WR23,dj moore|WR,Sleeper,PPR,2026-09-05
53,53.0,Quinshon Judkins,CLE,RB,RB22,quinshon judkins|RB,Sleeper,PPR,2026-09-05
54,54.0,Luther Burden III,CHI,WR,WR24,luther burden iii|WR,Sleeper,PPR,2026-09-05
55,55.0,Terry McLaurin,WAS,WR,WR25,terry mclaurin|WR,Sleeper,PPR,2026-09-05
56,56.0,TreVeyon Henderson,NE,RB,RB23,treveyon henderson|RB,Sleeper,PPR,2026-09-05
57,57.0,Sam LaPorta,DET,TE,TE5,sam laporta|TE,Sleeper,PPR,2026-09-05
58,58.0,Jameson Williams,DET,WR,WR26,jameson williams|WR,Sleeper,PPR,2026-09-05
59,59.0,Jalen Hurts,PHI,QB,QB5,jalen hurts|QB,Sleeper,PPR,2026-09-05
60,60.0,Bhayshul Tuten,JAC,RB,RB24,bhayshul tuten|RB,Sleeper,PPR,2026-09-05
61,61.0,Mike Evans,SF,WR,WR27,mike evans|WR,Sleeper,PPR,2026-09-05
62,62.0,Jadarian Price,SEA,RB,RB25,jadarian price|RB,Sleeper,PPR,2026-09-05
63,63.0,Tucker Kraft,GB,TE,TE6,tucker kraft|TE,Sleeper,PPR,2026-09-05
64,64.0,Rome Odunze,CHI,WR,WR28,rome odunze|WR,Sleeper,PPR,2026-09-05
65,65.0,Jayden Daniels,WAS,QB,QB6,jayden daniels|QB,Sleeper,PPR,2026-09-05
66,66.0,Carnell Tate,TEN,WR,WR29,carnell tate|WR,Sleeper,PPR,2026-09-05
67,67.0,Kyle Pitts,ATL,TE,TE7,kyle pitts|TE,Sleeper,PPR,2026-09-05
68,68.0,Christian Watson,GB,WR,WR30,christian watson|WR,Sleeper,PPR,2026-09-05
